tracker_task_id,reviewer,comment_summary,category,priority,proposed_decision,experiment_ids,code_locations,manuscript_locations,acceptance_test,evidence_paths,current_status,blocker
W5-02,R3,"Rewrite the contribution list as falsifiable, evidence-backed statements",writing,P1,"Reduce contributions to falsifiable items: (1) multi-scale TCN/CSAG architecture, (2) branch-parallel single-server execution with defined version-lag control if retained, and (3) leakage-controlled evaluation including cold start. List personalization separately only if supported.",(manuscript/response action — no experiment),n/a,Section I-C,Contribution-evidence crosswalk.,artifacts/resubmission/ (pending evidence),blocked,"Depends on upstream evidence (decisions + reruns) and manuscript source; decision drafted, implementation blocked by missing inputs."
W5-03,R1; R2; R6,Rewrite the temporal-causality problem statement narrowly and formally,writing,P0,Define any temporal-consistency problem only for a specified asynchronous/stateful training process; otherwise describe DDP differences empirically without causal language.,(manuscript/response action — no experiment),n/a,"Sections I-B, II-C",Terminology/claim audit plus EX-01 evidence if mechanism retained.,artifacts/resubmission/ (pending evidence),blocked,"Depends on upstream evidence (decisions + reruns) and manuscript source; decision drafted, implementation blocked by missing inputs."
W5-04,R3,Add a closest-method comparison table,writing,P1,"Add a verified closest-method table spanning multi-scale temporal models, branch/model/pipeline parallelism, asynchronous training and lightweight personalization.",(manuscript/response action — no experiment),n/a,Section II,Table entries checked against official/full primary sources.,artifacts/resubmission/ (pending evidence),blocked,"Depends on upstream evidence (decisions + reruns) and manuscript source; decision drafted, implementation blocked by missing inputs."
W5-05,R3,Remove or substantiate all 'first' and 'guarantee' language,writing,P1,"Remove unsupported 'first', 'guarantee', 'near-linear', 'population-scale', 'neuroscientifically grounded' and causal-proof language.",(manuscript/response action — no experiment),n/a,Entire manuscript,Search log with zero unapproved strong terms.,artifacts/resubmission/ (pending evidence),blocked,"Depends on upstream evidence (decisions + reruns) and manuscript source; decision drafted, implementation blocked by missing inputs."
W5-06,R2; R3; R6,Expand the limitations section with concrete boundaries,writing,P1,"Expand limitations to state: single-server hardware, no physical cluster evidence, small datasets, corrected split scope, fixed schedules, StudentLife context cap, cold start, aggregator bottleneck and non-clinical use.",(manuscript/response action — no experiment),n/a,Section VIII,Limitations-to-claims cross-check.,artifacts/resubmission/ (pending evidence),blocked,"Depends on upstream evidence (decisions + reruns) and manuscript source; decision drafted, implementation blocked by missing inputs."
W5-07,R3,Add a practical deployment discussion,writing,P1,"Separate training topology from inference. Describe inference as a single fused model unless distributed inference is actually implemented; discuss new-subject UNK/few-shot path, privacy and failure handling.",(manuscript/response action — no experiment),n/a,Discussion,Measured latency table and deployment diagram consistent with code.,artifacts/resubmission/ (pending evidence),blocked,"Depends on upstream evidence (decisions + reruns) and manuscript source; decision drafted, implementation blocked by missing inputs."
W5-08,R3,Qualify the CSAG attention interpretation,writing,P2,"Describe CSAG weights as descriptive post-hoc behavior, not causal explanation or proof of branch importance.",(manuscript/response action — no experiment),n/a,Section VII-B,Revised captions/text and ablation cross-reference.,artifacts/resubmission/ (pending evidence),blocked,"Depends on upstream evidence (decisions + reruns) and manuscript source; decision drafted, implementation blocked by missing inputs."
W5-09,R2; R3; R6,Rewrite the conclusion to match the final scope,writing,P1,"Rewrite the conclusion after reruns; report only validated predictive results and single-server GPU-worker speedup, then list physical clusters/adaptive scales/cold start as future work.",(manuscript/response action — no experiment),n/a,Section IX,Conclusion-to-abstract/table consistency check.,artifacts/resubmission/ (pending evidence),blocked,"Depends on upstream evidence (decisions + reruns) and manuscript source; decision drafted, implementation blocked by missing inputs."
W5-10,R1,Prepare a respectful rebuttal to the 58.7 reading error,writing,P1,"Use a factual, non-defensive correction for the 58.7 reading while acknowledging legibility and provenance improvements.",(manuscript/response action — no experiment),n/a,Response letter,PDF page and final response page/line; provenance log.,artifacts/resubmission/ (pending evidence),in_progress,Decision drafted from PDF + tracker; final web verification / manuscript application / coauthor sign-off pending.
W5-11,R1,Handle the alleged Algorithm 1 'date' typo as a rendering clarification,writing,P2,"Clarify that Algorithm 1 contains Δ_b += 1, not a 'date' token, while accepting that rasterization/spacing made it hard to read.",(manuscript/response action — no experiment),n/a,Algorithm 1; Response letter,Source/PDF visual comparison at 100% and print size.,artifacts/resubmission/ (pending evidence),in_progress,Decision drafted from PDF + tracker; final web verification / manuscript application / coauthor sign-off pending.
W5-12,R5,Evaluate Reviewer 5's suggested citations individually,citation,P2,"Do not add suggested citations automatically. Evaluate each against a specific revised claim; decline irrelevant suggestions politely. The provided tracker does not include the three citation details, so final per-paper decisions require the original review text.",(manuscript/response action — no experiment),n/a,Related Work; Response letter,Original Reviewer 5 citation list plus official records and claim mapping.,artifacts/resubmission/ (pending evidence),in_progress,Decision drafted from PDF + tracker; final web verification / manuscript application / coauthor sign-off pending.
W5-13,Editor,"Add page, section and line references to every reviewer response",administrative,P1,"Use one response block per original comment with concern, decision, action, evidence and final page/line references.",(manuscript/response action — no experiment),n/a,Response letter,Response matrix with no blank comment/location fields.,artifacts/resubmission/ (pending evidence),in_progress,Decision drafted from PDF + tracker; final web verification / manuscript application / coauthor sign-off pending.
F6-01,R2,"Remove the 'VOLUME 4, 2016' placeholder throughout",writing,P2,"Remove the 'VOLUME 4, 2016' placeholder from every page using the current IEEE Access template settings.",(manuscript/response action — no experiment),manuscript source (UNAVAILABLE — PDF only),All pages,15-page visual QA or final-page count equivalent.,artifacts/resubmission/ (pending evidence),blocked,MISSING INPUT: manuscript LaTeX/Word source + figures. Only the compiled PDF is available; source edits/re-export not possible.
F6-02,R4,Fix Table 2 and Table 5 headers and labels,writing,P2,"Rebuild Tables 2 and 5 with unambiguous headers, spaced ablation names and readable vector text.",(manuscript/response action — no experiment),manuscript source (UNAVAILABLE — PDF only),Tables 2 and 5,Print-size visual check and accessible text extraction.,artifacts/resubmission/ (pending evidence),blocked,MISSING INPUT: manuscript LaTeX/Word source + figures. Only the compiled PDF is available; source edits/re-export not possible.
F6-03,R1,Re-export architectural diagrams and algorithms as vector graphics,writing,P1,Export Figures 1-3 and Algorithm 1 as true vector PDF/SVG-compatible assets with embedded fonts.,(manuscript/response action — no experiment),manuscript source (UNAVAILABLE — PDF only),Figures 1–3; Algorithm 1,pdffonts/vector inspection and page render at 100%/150%.,artifacts/resubmission/ (pending evidence),blocked,MISSING INPUT: manuscript LaTeX/Word source + figures. Only the compiled PDF is available; source edits/re-export not possible.
F6-04,R4,Standardize table and figure notation,writing,P2,"Standardize GPU worker/process/branch/replica terms, symbols, decimal precision, CI notation and units across every table and figure.",(manuscript/response action — no experiment),manuscript source (UNAVAILABLE — PDF only),All figures/tables,Automated text search plus manual figure/table audit.,artifacts/resubmission/ (pending evidence),blocked,MISSING INPUT: manuscript LaTeX/Word source + figures. Only the compiled PDF is available; source edits/re-export not possible.
F6-05,R4,Complete the guide's author biography,administrative,P3,"Complete Dr. Basavaraj Hiremath's biography only from author-confirmed degree field, institution and year; do not infer missing details.",(manuscript/response action — no experiment),n/a,Author biography,Written author approval of exact biography text.,artifacts/resubmission/ (pending evidence),blocked,"Requires author/guide input (disclosure facts, sign-off, biography). Cannot be self-certified."
F6-06,R1; R3,"Run a full notation, grammar and cross-reference audit",writing,P2,"Run a final human-led notation, grammar and cross-reference audit after all scientific edits, not before.",(manuscript/response action — no experiment),manuscript source (UNAVAILABLE — PDF only),Entire manuscript,Compilation log with no undefined references plus signed QA checklist.,artifacts/resubmission/ (pending evidence),blocked,MISSING INPUT: manuscript LaTeX/Word source + figures. Only the compiled PDF is available; source edits/re-export not possible.
F6-07,Editor,"Inspect the final PDF at 100%, 150% and print view",administrative,P2,"Inspect the clean and highlighted PDFs page-by-page at 100%, 150% and print scale after the portal conversion.",(manuscript/response action — no experiment),manuscript source (UNAVAILABLE — PDF only),Final PDF,Dated PDF QA checklist with two-person sign-off.,artifacts/resubmission/ (pending evidence),blocked,MISSING INPUT: manuscript LaTeX/Word source + figures. Only the compiled PDF is available; source edits/re-export not possible.
F6-08,R1; R3,Prepare a structured supplementary appendix,reproducibility,P2,"Use a supplement for extended protocols, tests, hyperparameters, statistics and extra ablations; do not place the withdrawn convergence proof there.",,manuscript source (UNAVAILABLE — PDF only),Supplement,Supplement table of contents and cross-reference audit.,artifacts/resubmission/ (pending evidence),blocked,MISSING INPUT: manuscript LaTeX/Word source + figures. Only the compiled PDF is available; source edits/re-export not possible.
S7-01,Editor,Create a reviewer-comment master matrix,administrative,P0,Use this Master Tracker as the canonical comment-to-action matrix; no reviewer comment may be omitted or merged without an explicit mapping.,(manuscript/response action — no experiment),n/a,Response package,Reviewer Matrix and Master Tracker completeness check.,artifacts/resubmission/ (pending evidence),blocked,"Depends on upstream evidence (decisions + reruns) and manuscript source; decision drafted, implementation blocked by missing inputs."
S7-02,Editor,Write the formal response-to-reviewers document,administrative,P0,"Write the response from the populated decision/justification/change columns, using accept/partial/rebut stances and never claiming an experiment is complete before evidence exists.",(manuscript/response action — no experiment),n/a,Response package,Final response document reconciled row-by-row with tracker.,artifacts/resubmission/ (pending evidence),blocked,"Depends on upstream evidence (decisions + reruns) and manuscript source; decision drafted, implementation blocked by missing inputs."
S7-03,Editor,Produce the highlighted-changes PDF,administrative,P0,Generate the highlighted PDF only from the locked final source and highlight every substantive and language change without obscuring content.,(manuscript/response action — no experiment),manuscript source (UNAVAILABLE — PDF only),Submission file,Clean/highlighted text and page-structure comparison.,artifacts/resubmission/ (pending evidence),blocked,MISSING INPUT: manuscript LaTeX/Word source + figures. Only the compiled PDF is available; source edits/re-export not possible.
S7-04,Editor,Produce the clean LaTeX/Word source and PDF,administrative,P0,Compile the clean manuscript and source from the same locked tag as all evidence and response locations.,(manuscript/response action — no experiment),manuscript source (UNAVAILABLE — PDF only),Submission file,Reproducible clean build and file manifest.,artifacts/resubmission/ (pending evidence),blocked,MISSING INPUT: manuscript LaTeX/Word source + figures. Only the compiled PDF is available; source edits/re-export not possible.
S7-05,Editor,Complete the IEEE Access resubmission checklist,administrative,P0,Complete the current IEEE Access resubmission checklist immediately before upload and record evidence for every item.,(manuscript/response action — no experiment),n/a,Submission package,Dated checklist and portal screenshots/confirmation.,artifacts/resubmission/ (pending evidence),blocked,"Depends on upstream evidence (decisions + reruns) and manuscript source; decision drafted, implementation blocked by missing inputs."
S7-06,All,Run an independent internal re-review against the original reviewer comments,administrative,P0,Commission an independent red-team review using the original comments and reject any retained claim without a traceable source/result.,(manuscript/response action — no experiment),n/a,All files,Red-team log and closure sign-off.,artifacts/resubmission/ (pending evidence),blocked,"Depends on upstream evidence (decisions + reruns) and manuscript source; decision drafted, implementation blocked by missing inputs."
S7-07,Editor,Obtain final guide and coauthor approval,administrative,P0,"Require final approval from both authors for scope, withdrawn theorem, reference replacements, results, disclosure and response tone.",(manuscript/response action — no experiment),n/a,All files,Dated written approvals.,artifacts/resubmission/ (pending evidence),blocked,"Requires author/guide input (disclosure facts, sign-off, biography). Cannot be self-certified."
S7-08,Editor,Run a similarity check on the final manuscript,administrative,P1,Run a similarity check after the final rewrite and manually assess each flagged passage; correct improper overlap without paraphrasing standard terminology artificially.,(manuscript/response action — no experiment),n/a,Clean manuscript,Similarity report and adjudication log.,artifacts/resubmission/ (pending evidence),blocked,"Depends on upstream evidence (decisions + reruns) and manuscript source; decision drafted, implementation blocked by missing inputs."
S7-09,Editor,Verify portal metadata against the manuscript,administrative,P1,"Make portal metadata identical to the final manuscript: title, abstract, author order, affiliations, ORCIDs, keywords and corresponding email.",(manuscript/response action — no experiment),n/a,Portal,Signed metadata checklist.,artifacts/resubmission/ (pending evidence),blocked,"Depends on upstream evidence (decisions + reruns) and manuscript source; decision drafted, implementation blocked by missing inputs."
S7-10,Editor,Create a final immutable submission archive before upload,administrative,P0,"Create an immutable pre-upload archive containing source, clean/highlighted PDFs, response, supplement, evidence manifest and checksums.",(manuscript/response action — no experiment),n/a,Archive,Archive checksum and portal confirmation.,artifacts/resubmission/ (pending evidence),blocked,"Depends on upstream evidence (decisions + reruns) and manuscript source; decision drafted, implementation blocked by missing inputs."
S7-11,Editor,Perform a two-person portal review before clicking submit,administrative,P1,Perform a two-person review of files downloaded/rendered from the portal before final submission.,(manuscript/response action — no experiment),n/a,Portal,Two-person portal sign-off.,artifacts/resubmission/ (pending evidence),blocked,"Depends on upstream evidence (decisions + reruns) and manuscript source; decision drafted, implementation blocked by missing inputs."
