ID,Phase,Priority,Reviewer(s),Category,Task,Why / Problem,Detailed Action Steps,Definition of Done,Deliverable / Evidence,Dependency,Suggested Owner,Target Week,Status,% Complete,Blocking,Decision Required,Manuscript Section,Response Ref,Notes
E4-07,4. Experiments & Benchmarking,P1 Major,R3,Profiling,"Report parameters, FLOPs, peak GPU memory and inference latency",Reviewers need a complete cost-versus-quality comparison.,"• Profile D-MSTCN and all major baselines with the same input shapes.
• Report batch and single-sample latency.
• Separate training and inference costs.",A complete computational-profile table is included and reproducible.,Profiling table + scripts,T2-11; E4-01,Aditya,Week 2,Not Started,0%,No,No,Complexity; Results,R3,
E4-08,4. Experiments & Benchmarking,P1 Major,R3,Ablation,Ablate alternative dilation schedules,Fixed schedules are central to the multi-scale claim but are insufficiently tested.,"• Test at least two alternative schedules.
• Include a learned or data-adaptive schedule if feasible.
• Report accuracy, compute and receptive-field duration.",The chosen schedules are empirically justified rather than assumed.,Expanded ablation table,T2-02; T2-08,Aditya,Week 2,Not Started,0%,No,No,Section VI,R3,
E4-09,4. Experiments & Benchmarking,P1 Major,R3,Ablation,Ablate number of branches and kernel sizes,The contribution of three branches and K=3 should be demonstrated.,"• Evaluate 1-, 2-, 3- and 4-branch variants where practical.
• Compare K=3 and K=5.
• Report parameter-matched variants when possible.",Architecture choices are supported by controlled ablations.,Expanded ablation table,E4-08,Aditya,Week 2,Not Started,0%,No,No,Section VI,R3,
E4-10,4. Experiments & Benchmarking,P1 Major,R3,Fusion ablation,Compare CSAG with alternative fusion mechanisms,Fixed averaging alone is not a broad comparison of attention-based fusion choices.,"• Compare concatenation+MLP, scalar gating and one alternative attention mechanism.
• Match parameter counts where feasible.
• Analyze stability and interpretability.",CSAG's benefit is established against credible alternatives.,Fusion comparison table,E4-01,Aditya,Week 2,Not Started,0%,No,No,Section VI,R3,
E4-11,4. Experiments & Benchmarking,P1 Major,R3,Personalization,Compare FiLM with lightweight personalization alternatives,"The choice of FiLM needs an accuracy, parameter and adaptation-cost justification.","• Add a plain adapter baseline.
• Add LoRA where architecturally meaningful.
• Add a simple fine-tuning or meta-learning baseline if resources permit.","FiLM is justified by a measured tradeoff, not convenience alone.",Personalization comparison table,V3-03; E4-01,Aditya,Week 2–3,Not Started,0%,No,No,Section VI; Discussion,R3,
E4-14,4. Experiments & Benchmarking,P1 Major,R2; R3,Statistics,Re-run headline comparisons with sufficient seeds,The current five-seed design has low power and cannot support some stated significance claims.,"• Use the same seed list for D-MSTCN and key baselines.
• Prioritize D-MSTCN N=1, D-MSTCN scaled, iTransformer, Temporal-CNN and DDP-LSTM.
• Report all runs, including failures.",Headline results have adequate repeated runs and transparent exclusions.,Run logs + revised Table 2,E4-13; E4-01,Aditya,Week 2–3,Not Started,0%,No,No,Table 2,R2/R3,
E4-15,4. Experiments & Benchmarking,P1 Major,R3; R6,Statistics,Add 95% confidence intervals and effect sizes,Mean ± standard deviation does not directly communicate uncertainty or practical magnitude.,"• Compute bootstrap or appropriate parametric confidence intervals.
• Report effect size for key pairwise comparisons.
• Avoid over-interpreting small F1 differences.",Main quality and systems results include uncertainty and practical effect magnitude.,Updated tables and statistical appendix,E4-13; E4-14,Aditya,Week 3,Not Started,0%,No,No,Results; Supplement,R3/R6,
E4-16,4. Experiments & Benchmarking,P1 Major,R1; R2,Sensitivity,Expand δ_max and T_sync sensitivity analysis,The protocol's behavior depends on two interacting synchronization controls.,"• Run a grid over δ_max and T_sync.
• Report F1, throughput, communication and synchronization frequency.
• Relate the empirical tradeoff to any retained theory.",Default settings are justified and interaction effects are visible.,Sensitivity heatmap/table,T2-04; T2-05,Aditya,Week 2,Not Started,0%,No,No,Section VI-B,R1/R2,
E4-17,4. Experiments & Benchmarking,P1 Major,R2; R6,Communication measurement,Validate communication-volume calculations with instrumentation,Analytical byte counts can miss protocol overhead and repeated synchronization.,"• Instrument NCCL/process communication.
• Compare measured and analytical bytes.
• Report per-step and per-epoch totals.",Communication claims are backed by measured values and an explained calculation.,Instrumentation logs + revised Figure 5,T2-05; E4-03,Aditya,Week 2–3,Not Started,0%,No,No,Section III-F; Figure 5,R2/R6,
E4-18,4. Experiments & Benchmarking,P1 Major,R3,Open science,Prepare an anonymized code and reproducibility package before resubmission,A concrete artifact strengthens the response to reproducibility concerns.,"• Include configs, environment, preprocessing and plotting scripts.
• Provide a minimal reproduction command.
• Respect dataset redistribution restrictions.",A reviewer-accessible repository or archive reproduces at least the main results.,Repository/archive link,G0-09; E4-01:E4-17,Aditya,Week 3,Not Started,0%,No,No,Data/code availability,R3,
W5-02,5. Writing & Positioning,P1 Major,R3,Contributions,"Rewrite the contribution list as falsifiable, evidence-backed statements","A contribution should describe what is new and what was demonstrated, not promise a broad capability.","• Separate architecture, protocol, partitioning, personalization and evaluation.
• Remove items that are not independently novel.
• Attach each contribution to a section and result.",Each contribution has a precise implementation and evaluation trail.,Revised contributions subsection,D1-05; E4 results,Aditya + Guide,Week 3,Not Started,0%,No,No,Section I-C,R3,
W5-04,5. Writing & Positioning,P1 Major,R3,Related work,Add a closest-method comparison table,The novelty is easier to assess when neighboring approaches are compared feature by feature.,"• Include multi-scale temporal models, distributed/pipeline methods, asynchronous training and personalization.
• Use only verified references.
• Compare objective, temporal scales, distribution mode, consistency mechanism and personalization.",The reader can see the precise gap addressed by the revised method.,Related-work comparison table,G0-01; D1-05,Aditya,Week 3,Not Started,0%,No,No,Section II,R3,
W5-05,5. Writing & Positioning,P1 Major,R3,Claims,Remove or substantiate all 'first' and 'guarantee' language,Unsupported superlatives invite a second rejection under binary review.,"• Search for first, novel, guarantee, scalable, near-linear, causal and population-scale.
• Retain only with direct evidence.
• Use measured scope and limitations.",Claim audit shows zero unsupported superlatives.,Completed claim audit,D1-07; W5-01:W5-04,Aditya,Week 3,Not Started,0%,No,No,Entire manuscript,R3,
W5-06,5. Writing & Positioning,P1 Major,R2; R3; R6,Limitations,Expand the limitations section with concrete boundaries,The paper acknowledges limitations but still makes broader claims elsewhere.,"• State hardware limits, dataset scale, cold start, fixed schedules and aggregator bottleneck.
• Add the limitations of simulated networking if retained.
• Explain what the results do not establish.","Limitations are specific, consistent with the claims and referenced in the conclusion.",Revised Section VIII,D1-01; D1-02; E4 results,Aditya + Guide,Week 3,Not Started,0%,No,No,Section VIII,R2/R3/R6,
W5-07,5. Writing & Positioning,P1 Major,R3,Deployment,Add a practical deployment discussion,"Reviewers asked for latency, communication, unseen subjects and operational constraints.","• Describe training and inference topology separately.
• Discuss new-subject onboarding, failure handling and privacy boundaries.
• Tie deployment statements to measured latency and communication.",Deployment guidance is concrete and does not exceed the evaluated setting.,Deployment subsection,E4-07; E4-12; E4-17,Aditya,Week 3,Not Started,0%,No,No,Discussion,R3,
W5-09,5. Writing & Positioning,P1 Major,R2; R3; R6,Conclusion,Rewrite the conclusion to match the final scope,The conclusion repeats the strongest distributed and theoretical claims.,"• Report only revised numbers.
• Separate demonstrated findings from future work.
• Remove claims withdrawn during structural decisions.",Conclusion contains no claim absent from the revised evidence.,Revised Section IX,W5-01:W5-08,Aditya + Guide,Week 3,Not Started,0%,No,No,Section IX,R2/R3/R6,
W5-10,5. Writing & Positioning,P1 Major,R1,Response strategy,Prepare a respectful rebuttal to the 58.7 reading error,The reviewer concern should be corrected without sounding adversarial.,"• Thank the reviewer for prompting verification.
• State that both text and Table 2 show 68.7 ± 2.3.
• Mention the new provenance audit and improved table resolution.","Response includes evidence, action and page/line references.",Response paragraph,G0-07,Aditya,Week 3,Not Started,0%,No,No,Response letter,R1,
W5-13,5. Writing & Positioning,P1 Major,Editor,Traceability,"Add page, section and line references to every reviewer response",A response is persuasive only when the editor can locate the exact change quickly.,"• Use one concern-response-action block per comment.
• Quote the revised wording where useful.
• Record page and line numbers after final typesetting.",Every response item points to an exact location and deliverable.,Completed response matrix,W5-01:W5-12; F6 complete,Aditya,Week 3,Not Started,0%,No,No,Response letter,Editor,
F6-03,6. Presentation & Formatting,P1 Major,R1,Figures,Re-export architectural diagrams and algorithms as vector graphics,Blurred equations and labels impair technical review.,"• Use PDF/SVG/vector output where supported.
• Ensure fonts are embedded and notation matches the text.
• Check at single-column and double-column print size.",Figures 1–3 and Algorithm 1 are crisp and legible at final size.,Vector assets + final PDF,T2 complete,Aditya,Week 3,Not Started,0%,No,No,Figures 1–3; Algorithm 1,R1,
S7-08,7. Response & Submission,P1 Major,Editor,Similarity,Run a similarity check on the final manuscript,A large rewrite can still contain accidental overlap from source wording or prior versions.,"• Review flagged passages manually.
• Fix inappropriate verbatim overlap.
• Do not distort standard technical phrases merely to lower a score.",No unresolved inappropriate textual overlap remains.,Similarity report + resolution notes,S7-04,Aditya,Week 4,Not Started,0%,No,No,Clean manuscript,Editor,
S7-09,7. Response & Submission,P1 Major,Editor,Metadata,Verify portal metadata against the manuscript,"Title, abstract, authors, ORCID, keywords and affiliations must be identical across files and portal.","• Compare every field.
• Verify corresponding-author email and ORCID.
• Confirm no accidental author-order change.",Portal and manuscript metadata match exactly.,Metadata checklist,S7-04; S7-07,Aditya,Week 4,Not Started,0%,No,No,Portal,Editor,
S7-11,7. Response & Submission,P1 Major,Editor,Final portal review,Perform a two-person portal review before clicking submit,Wrong file categories or stale uploads can invalidate otherwise correct work.,"• Open every uploaded file from the portal preview.
• Check file type/category and version.
• Have the guide or coauthor verify before final submission.",Two people confirm the portal package is correct before submission.,Final portal sign-off,S7-10,Aditya + Guide,Week 4,Not Started,0%,Yes,No,Portal,Editor,
V3-10,3. Data & Evaluation Integrity,P2 Supporting,Editor,Ethics / data use,"Confirm dataset permissions, ethics statements and clinical-claim boundaries",Cognitive and depression modeling require careful wording about screening versus diagnosis.,"• Verify data-use terms.
• State that outputs are research classifications, not clinical diagnoses.
• Update ethics and limitations language.",Data-use and clinical-boundary statements are accurate and complete.,Approved ethics/limitations text,,Aditya + Guide,Week 2,Not Started,0%,No,No,Section IV-A; Limitations,Editor,
W5-08,5. Writing & Positioning,P2 Supporting,R3,Interpretability,Qualify the CSAG attention interpretation,Attention weights can be descriptive without proving causal importance.,"• Describe them as post-hoc model behavior.
• Avoid equating attention with explanation or mechanism.
• Cross-reference ablation evidence.",Interpretability wording is cautious and evidence-aligned.,Revised attention-analysis text,E4-10,Aditya,Week 3,Not Started,0%,No,No,Section VII-B,R3,
W5-11,5. Writing & Positioning,P2 Supporting,R1,Response strategy,Handle the alleged Algorithm 1 'date' typo as a rendering clarification,The submitted PDF shows Δ_b += 1; the response should still acknowledge readability issues.,"• Verify the source and compiled PDF.
• Improve vector rendering.
• State politely that the operator was present and has been made clearer.",Response resolves the concern and the revised algorithm is unmistakably legible.,Response paragraph + revised algorithm,T2-04; F6-03,Aditya,Week 3,Not Started,0%,No,No,Algorithm 1; Response letter,R1,
W5-12,5. Writing & Positioning,P2 Supporting,R5,Citation decision,Evaluate Reviewer 5's suggested citations individually,Suggested references should be added only if they genuinely support the revised paper.,"• Read each paper.
• Map it to a specific manuscript claim or decline it politely.
• Never add citations solely to appease the reviewer.",Each suggested reference has a documented include/decline decision.,Citation decision notes + response paragraphs,G0-05,Aditya + Guide,Week 3,Not Started,0%,No,Yes,Related Work; Response letter,R5,
F6-01,6. Presentation & Formatting,P2 Supporting,R2,Template,"Remove the 'VOLUME 4, 2016' placeholder throughout",The placeholder signals insufficient final quality control.,"• Correct the IEEE Access template/footer.
• Inspect every page in the final PDF.",No placeholder remains in source or PDF.,Clean PDF check,W5 complete,Aditya,Week 3,Not Started,0%,No,No,All pages,R2,
F6-02,6. Presentation & Formatting,P2 Supporting,R4,Tables,Fix Table 2 and Table 5 headers and labels,Garbled labels reduce trust and caused at least one reviewer misreading.,"• Use 'Comm. (MB/epoch)' or an equally clear header.
• Use explicit ablation labels such as 'w/o MSB'.
• Increase table text size and spacing.",All tables are readable at 100% zoom and in print.,Revised tables,G0-07,Aditya,Week 3,Not Started,0%,No,No,Tables 2 and 5,R4,
F6-04,6. Presentation & Formatting,P2 Supporting,R4,Visual QA,Standardize table and figure notation,Inconsistent abbreviations and symbols make the paper harder to audit.,"• Define every abbreviation in captions.
• Use the same node/worker/GPU terminology.
• Standardize decimal places and uncertainty notation.","Captions and tables use consistent terms, symbols and precision.",Visual style checklist,T2-07; W5 complete,Aditya,Week 3,Not Started,0%,No,No,All figures/tables,R4,
F6-06,6. Presentation & Formatting,P2 Supporting,R1; R3,Language,"Run a full notation, grammar and cross-reference audit","The revision will introduce many new equations, tables and sections.","• Check equation, figure, table and section references.
• Check symbol definitions and tense.
• Use a final human review after any language tool.","No broken cross-reference, undefined symbol or visible grammar issue remains.",Final editorial checklist,W5 complete,Aditya + Guide,Week 3,Not Started,0%,No,No,Entire manuscript,R1/R3,
F6-07,6. Presentation & Formatting,P2 Supporting,Editor,PDF QA,"Inspect the final PDF at 100%, 150% and print view",Many reviewer concerns were amplified by rendering quality.,"• Inspect every page.
• Check clipping, font embedding, equations, legends and tables.
• Verify the highlighted version has the same pagination as the clean version where possible.",A page-by-page PDF QA checklist is complete with zero unresolved issue.,Signed PDF QA checklist,F6-01:F6-06,Aditya,Week 3,Not Started,0%,No,No,Final PDF,Editor,
F6-08,6. Presentation & Formatting,P2 Supporting,R1; R3,Supplement,Prepare a structured supplementary appendix,"A full proof, extended experiments and reproducibility details may not fit cleanly in the main article.","• Include proof or proposition details.
• Include additional tables, hyperparameters and run protocols.
• Cross-reference the supplement from the main text and response.","Supplement is complete, numbered and consistent with the main manuscript.",Supplementary PDF/source,T2-10; E4 complete,Aditya,Week 3,Not Started,0%,No,No,Supplement,R1/R3,
F6-05,6. Presentation & Formatting,P3 Polish,R4,Biography,Complete the guide's author biography,The biography currently omits the Ph.D. field.,"• Confirm the exact degree field and institution.
• Update the biography with the guide's approval.",Biography is complete and approved.,Approved biography text,,Guide,Week 3,Not Started,0%,No,No,Author biography,R4,
