tracker_task_id,reviewer,comment_summary,category,priority,proposed_decision,experiment_ids,code_locations,manuscript_locations,acceptance_test,evidence_paths,current_status,blocker
E4-13,R2; R3,Redesign the significance-testing plan,statistics,P0,"Withdraw every current p<0.05 marker based on five paired seeds. Use at least 10 paired independent runs for headline tests, exact two-sided Wilcoxon, paired effect sizes/CIs and Holm correction across multiple headline comparisons.",N/A (non-experimental task),UNAVAILABLE: no source checkout supplied,Section IV-C/D; Tables 2–5,Statistics script with raw paired scores and reproducible output.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,editable manuscript source unavailable
E4-14,R2; R3,Re-run headline comparisons with sufficient seeds,statistics,P1,Rerun D-MSTCN and the strongest baselines on the corrected splits using a common 10+ seed list; report all runs and failures.,EXP-5.10,UNAVAILABLE: no source checkout supplied,Table 2,"Run manifest, raw scores and regenerated Table 2.",reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,implementation/configs and raw run artifacts unavailable; editable manuscript source unavailable
E4-15,R3; R6,Add 95% confidence intervals and effect sizes,statistics,P1,"Report 95% CIs for metrics and paired differences plus a paired effect size; emphasize practical magnitude, not p-values alone.",EXP-4.3,UNAVAILABLE: no source checkout supplied,Results; Supplement,Auditable statistical notebook/script.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,implementation/configs and raw run artifacts unavailable; editable manuscript source unavailable
E4-16,R1; R2,Expand δ_max and T_sync sensitivity analysis,methodology,P1,"Run a two-dimensional δ_max × T_sync grid and report F1, throughput, measured bytes and synchronization frequency; interpret it operationally, not as validation of a removed theorem.",N/A (non-experimental task),UNAVAILABLE: no source checkout supplied,Section VI-B,"Grid configs, raw metrics and revised figure.",reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,editable manuscript source unavailable
E4-17,R2; R6,Validate communication-volume calculations with instrumentation,systems,P1,Instrument actual communication and reconcile it with the corrected analytical formula per step and epoch.,EXP-6.3,UNAVAILABLE: no source checkout supplied,Section III-F; Figure 5,NCCL/profiler traces and aggregation script.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,implementation/configs and raw run artifacts unavailable; editable manuscript source unavailable
E4-18,R3,Prepare an anonymized code and reproducibility package before resubmission,reproducibility,P1,Release an anonymized reproducibility package before resubmission or provide a stable review artifact; exclude restricted raw datasets and include acquisition instructions/checksums.,N/A (non-experimental task),UNAVAILABLE: no source checkout supplied,Data/code availability,Archive URL/DOI or private reviewer link and checksum manifest.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,editable manuscript source unavailable
W5-01,R2; R3; R6,Rewrite title and abstract after the structural decisions and reruns,writing,P0,Rewrite title/abstract around multi-scale modeling plus single-server branch-parallel multi-GPU execution; include only rerun-validated numbers and no theorem/first/population-scale language.,N/A (non-experimental task),UNAVAILABLE: no source checkout supplied,Title; Abstract,Final abstract numbers trace to logs and match tables exactly.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,editable manuscript source unavailable
W5-02,R3,"Rewrite the contribution list as falsifiable, evidence-backed statements",writing,P1,"Reduce contributions to falsifiable items: (1) multi-scale TCN/CSAG architecture, (2) branch-parallel single-server execution with defined version-lag control if retained, and (3) leakage-controlled evaluation including cold start. List personalization separately only if supported.",EXP-4.3,UNAVAILABLE: no source checkout supplied,Section I-C,Contribution-evidence crosswalk.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,implementation/configs and raw run artifacts unavailable; editable manuscript source unavailable
W5-03,R1; R2; R6,Rewrite the temporal-causality problem statement narrowly and formally,correctness,P0,Define any temporal-consistency problem only for a specified asynchronous/stateful training process; otherwise describe DDP differences empirically without causal language.,EXP-0.4;EXP-3.1;EXP-4.3,UNAVAILABLE: no source checkout supplied,"Sections I-B, II-C",Terminology/claim audit plus EX-01 evidence if mechanism retained.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,implementation/configs and raw run artifacts unavailable; editable manuscript source unavailable
W5-04,R3,Add a closest-method comparison table,baseline,P1,"Add a verified closest-method table spanning multi-scale temporal models, branch/model/pipeline parallelism, asynchronous training and lightweight personalization.",N/A (non-experimental task),UNAVAILABLE: no source checkout supplied,Section II,Table entries checked against official/full primary sources.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,editable manuscript source unavailable
W5-05,R3,Remove or substantiate all 'first' and 'guarantee' language,methodology,P1,"Remove unsupported 'first', 'guarantee', 'near-linear', 'population-scale', 'neuroscientifically grounded' and causal-proof language.",N/A (non-experimental task),UNAVAILABLE: no source checkout supplied,Entire manuscript,Search log with zero unapproved strong terms.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,editable manuscript source unavailable
W5-06,R2; R3; R6,Expand the limitations section with concrete boundaries,writing,P1,"Expand limitations to state: single-server hardware, no physical cluster evidence, small datasets, corrected split scope, fixed schedules, StudentLife context cap, cold start, aggregator bottleneck and non-clinical use.",N/A (non-experimental task),UNAVAILABLE: no source checkout supplied,Section VIII,Limitations-to-claims cross-check.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,editable manuscript source unavailable
W5-07,R3,Add a practical deployment discussion,methodology,P1,"Separate training topology from inference. Describe inference as a single fused model unless distributed inference is actually implemented; discuss new-subject UNK/few-shot path, privacy and failure handling.",N/A (non-experimental task),UNAVAILABLE: no source checkout supplied,Discussion,Measured latency table and deployment diagram consistent with code.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,editable manuscript source unavailable
W5-08,R3,Qualify the CSAG attention interpretation,methodology,P2,"Describe CSAG weights as descriptive post-hoc behavior, not causal explanation or proof of branch importance.",EXP-5.2;EXP-5.9,UNAVAILABLE: no source checkout supplied,Section VII-B,Revised captions/text and ablation cross-reference.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,implementation/configs and raw run artifacts unavailable; editable manuscript source unavailable
W5-09,R2; R3; R6,Rewrite the conclusion to match the final scope,writing,P1,"Rewrite the conclusion after reruns; report only validated predictive results and single-server GPU-worker speedup, then list physical clusters/adaptive scales/cold start as future work.",N/A (non-experimental task),UNAVAILABLE: no source checkout supplied,Section IX,Conclusion-to-abstract/table consistency check.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,editable manuscript source unavailable
W5-10,R1,Prepare a respectful rebuttal to the 58.7 reading error,writing,P1,"Use a factual, non-defensive correction for the 58.7 reading while acknowledging legibility and provenance improvements.",N/A (non-experimental task),UNAVAILABLE: no source checkout supplied,Response letter,PDF page and final response page/line; provenance log.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,editable manuscript source unavailable
W5-11,R1,Handle the alleged Algorithm 1 'date' typo as a rendering clarification,correctness,P2,"Clarify that Algorithm 1 contains Δ_b += 1, not a 'date' token, while accepting that rasterization/spacing made it hard to read.",N/A (non-experimental task),UNAVAILABLE: no source checkout supplied,Algorithm 1; Response letter,Source/PDF visual comparison at 100% and print size.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,editable manuscript source unavailable
W5-12,R5,Evaluate Reviewer 5's suggested citations individually,citation,P2,"Do not add suggested citations automatically. Evaluate each against a specific revised claim; decline irrelevant suggestions politely. The provided tracker does not include the three citation details, so final per-paper decisions require the original review text.",N/A (non-experimental task),UNAVAILABLE: no source checkout supplied,Related Work; Response letter,Original Reviewer 5 citation list plus official records and claim mapping.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,editable manuscript source unavailable
W5-13,Editor,"Add page, section and line references to every reviewer response",citation,P1,"Use one response block per original comment with concern, decision, action, evidence and final page/line references.",N/A (non-experimental task),UNAVAILABLE: no source checkout supplied,Response letter,Response matrix with no blank comment/location fields.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,editable manuscript source unavailable
F6-01,R2,"Remove the 'VOLUME 4, 2016' placeholder throughout",writing,P2,"Remove the 'VOLUME 4, 2016' placeholder from every page using the current IEEE Access template settings.",N/A (non-experimental task),UNAVAILABLE: no source checkout supplied,All pages,15-page visual QA or final-page count equivalent.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,editable manuscript source unavailable
F6-02,R4,Fix Table 2 and Table 5 headers and labels,writing,P2,"Rebuild Tables 2 and 5 with unambiguous headers, spaced ablation names and readable vector text.",N/A (non-experimental task),UNAVAILABLE: no source checkout supplied,Tables 2 and 5,Print-size visual check and accessible text extraction.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,editable manuscript source unavailable
F6-03,R1,Re-export architectural diagrams and algorithms as vector graphics,correctness,P1,Export Figures 1-3 and Algorithm 1 as true vector PDF/SVG-compatible assets with embedded fonts.,N/A (non-experimental task),UNAVAILABLE: no source checkout supplied,Figures 1–3; Algorithm 1,pdffonts/vector inspection and page render at 100%/150%.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,editable manuscript source unavailable
F6-04,R4,Standardize table and figure notation,correctness,P2,"Standardize GPU worker/process/branch/replica terms, symbols, decimal precision, CI notation and units across every table and figure.",N/A (non-experimental task),UNAVAILABLE: no source checkout supplied,All figures/tables,Automated text search plus manual figure/table audit.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,editable manuscript source unavailable
F6-05,R4,Complete the guide's author biography,administrative,P3,"Complete Dr. Basavaraj Hiremath's biography only from author-confirmed degree field, institution and year; do not infer missing details.",N/A (non-experimental task),UNAVAILABLE: no source checkout supplied,Author biography,Written author approval of exact biography text.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,editable manuscript source unavailable; author/institutional confirmation required
F6-06,R1; R3,"Run a full notation, grammar and cross-reference audit",citation,P2,"Run a final human-led notation, grammar and cross-reference audit after all scientific edits, not before.",N/A (non-experimental task),UNAVAILABLE: no source checkout supplied,Entire manuscript,Compilation log with no undefined references plus signed QA checklist.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,editable manuscript source unavailable
F6-07,Editor,"Inspect the final PDF at 100%, 150% and print view",writing,P2,"Inspect the clean and highlighted PDFs page-by-page at 100%, 150% and print scale after the portal conversion.",N/A (non-experimental task),UNAVAILABLE: no source checkout supplied,Final PDF,Dated PDF QA checklist with two-person sign-off.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,editable manuscript source unavailable
F6-08,R1; R3,Prepare a structured supplementary appendix,methodology,P2,"Use a supplement for extended protocols, tests, hyperparameters, statistics and extra ablations; do not place the withdrawn convergence proof there.",N/A (non-experimental task),UNAVAILABLE: no source checkout supplied,Supplement,Supplement table of contents and cross-reference audit.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,editable manuscript source unavailable
S7-01,Editor,Create a reviewer-comment master matrix,writing,P0,Use this Master Tracker as the canonical comment-to-action matrix; no reviewer comment may be omitted or merged without an explicit mapping.,N/A (non-experimental task),UNAVAILABLE: no source checkout supplied,Response package,Reviewer Matrix and Master Tracker completeness check.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,editable manuscript source unavailable
S7-02,Editor,Write the formal response-to-reviewers document,writing,P0,"Write the response from the populated decision/justification/change columns, using accept/partial/rebut stances and never claiming an experiment is complete before evidence exists.",N/A (non-experimental task),UNAVAILABLE: no source checkout supplied,Response package,Final response document reconciled row-by-row with tracker.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,editable manuscript source unavailable
S7-03,Editor,Produce the highlighted-changes PDF,writing,P0,Generate the highlighted PDF only from the locked final source and highlight every substantive and language change without obscuring content.,N/A (non-experimental task),UNAVAILABLE: no source checkout supplied,Submission file,Clean/highlighted text and page-structure comparison.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,editable manuscript source unavailable
S7-04,Editor,Produce the clean LaTeX/Word source and PDF,writing,P0,Compile the clean manuscript and source from the same locked tag as all evidence and response locations.,N/A (non-experimental task),UNAVAILABLE: no source checkout supplied,Submission file,Reproducible clean build and file manifest.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,editable manuscript source unavailable
S7-05,Editor,Complete the IEEE Access resubmission checklist,administrative,P0,Complete the current IEEE Access resubmission checklist immediately before upload and record evidence for every item.,N/A (non-experimental task),UNAVAILABLE: no source checkout supplied,Submission package,Dated checklist and portal screenshots/confirmation.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,editable manuscript source unavailable
S7-06,All,Run an independent internal re-review against the original reviewer comments,methodology,P0,Commission an independent red-team review using the original comments and reject any retained claim without a traceable source/result.,N/A (non-experimental task),UNAVAILABLE: no source checkout supplied,All files,Red-team log and closure sign-off.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,editable manuscript source unavailable
S7-07,Editor,Obtain final guide and coauthor approval,administrative,P0,"Require final approval from both authors for scope, withdrawn theorem, reference replacements, results, disclosure and response tone.",N/A (non-experimental task),UNAVAILABLE: no source checkout supplied,All files,Dated written approvals.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,editable manuscript source unavailable; author/institutional confirmation required
S7-08,Editor,Run a similarity check on the final manuscript,administrative,P1,Run a similarity check after the final rewrite and manually assess each flagged passage; correct improper overlap without paraphrasing standard terminology artificially.,N/A (non-experimental task),UNAVAILABLE: no source checkout supplied,Clean manuscript,Similarity report and adjudication log.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,editable manuscript source unavailable
S7-09,Editor,Verify portal metadata against the manuscript,administrative,P1,"Make portal metadata identical to the final manuscript: title, abstract, author order, affiliations, ORCIDs, keywords and corresponding email.",N/A (non-experimental task),UNAVAILABLE: no source checkout supplied,Portal,Signed metadata checklist.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,datasets/split manifests/label provenance unavailable; editable manuscript source unavailable
S7-10,Editor,Create a final immutable submission archive before upload,reproducibility,P0,"Create an immutable pre-upload archive containing source, clean/highlighted PDFs, response, supplement, evidence manifest and checksums.",N/A (non-experimental task),UNAVAILABLE: no source checkout supplied,Archive,Archive checksum and portal confirmation.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,editable manuscript source unavailable
S7-11,Editor,Perform a two-person portal review before clicking submit,administrative,P1,Perform a two-person review of files downloaded/rendered from the portal before final submission.,N/A (non-experimental task),UNAVAILABLE: no source checkout supplied,Portal,Two-person portal sign-off.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,editable manuscript source unavailable
